City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
412,Kafanchan,NG,80.02,scattered clouds,9.5833,8.3,Sir Joe guest Inn
416,Pismo Beach,US,78.64,scattered clouds,35.1428,-120.6413,SeaCrest OceanFront Hotel
420,Touros,BR,81.93,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
421,Natal,BR,84.42,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
422,Sonoita,MX,88.68,overcast clouds,31.85,-112.8333,Santa Ana
436,Benjamin Constant,BR,86.13,scattered clouds,-4.3831,-70.0311,CASA AVALIADA
438,Bhadasar,IN,81.32,clear sky,28.2833,74.3167,OMPRAKASH JAKHAR
442,Basco,PH,80.74,clear sky,20.4487,121.9702,Nathaniel's Lodge
447,Ormara,PK,78.01,clear sky,25.2088,64.6357,Kenara Colony house for Rent
448,Cairns,AU,77.07,overcast clouds,-16.9167,145.7667,Mantra Trilogy Cairns
450,Lima,PE,75.38,clear sky,-12.0432,-77.0282,Hotel Kamana
454,Labuan,MY,79.16,few clouds,5.2767,115.2417,Tiara Labuan Hotel
455,Juba,SS,79.54,broken clouds,4.8517,31.5825,ROYAL PALACE HOTEL - JUBA
461,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
462,Kloulklubed,PW,79.63,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
466,Mangrol,IN,77.13,few clouds,21.1167,70.1167,Hotel The Royal Honours
468,Ipu,BR,78.44,scattered clouds,-4.3222,-40.7108,Our hostel Corner
470,Gboko,NG,91.72,overcast clouds,7.3179,8.9951,Mavillah Apartment and Suites
473,Cockburn Town,TC,78.1,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
474,Jizan,SA,79.74,clear sky,17.3333,42.6667,شهدان. ابوالحجر
480,Panalingaan,PH,78.82,clear sky,8.7842,117.4231,I Love Panalingaan View Deck
485,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
487,Kulhudhuffushi,MV,81.48,clear sky,6.6221,73.07,Haajy Guest House 1
488,Sibolga,ID,75.69,clear sky,1.7427,98.7792,Hotel Syariah CN Darussalam
494,Kandrian,PG,77.23,overcast clouds,-6.2167,149.55,Kandrian Station
495,Sinnamary,GF,79.16,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
497,Itaituba,BR,89.76,scattered clouds,-4.2761,-55.9836,Hotel Campos
501,Alugan,PH,79.32,broken clouds,12.2188,125.4808,JM Lodge
502,Ilebo,CD,78.33,overcast clouds,-4.3167,20.5833,Hôtel BUMAK
504,Bambanglipuro,ID,76.64,overcast clouds,-7.95,110.2833,Puri Brata
507,Puerto Leguizamo,CO,81.66,light rain,-0.1934,-74.7819,la casona de juancho
512,Aguai,BR,88.9,overcast clouds,-22.0594,-46.9786,CHÁCARA GUERRA
514,Camopi,GF,77.77,overcast clouds,3.1655,-52.3158,La pousada
520,Sabang,ID,82.54,scattered clouds,5.8933,95.3214,Hotel Citra
522,Kilindoni,TZ,83.21,clear sky,-7.9139,39.6668,Bustani B&B
523,Grand Gaube,MU,79.2,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
529,Kimbe,PG,75.29,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
531,Inhambane,MZ,80.58,scattered clouds,-23.865,35.3833,Oceano
532,Coxim,BR,80.92,overcast clouds,-18.5067,-54.76,Hotel Avenida
538,San Juan,AR,76.35,clear sky,-31.5375,-68.5364,Hotel Provincial
542,Huarmey,PE,75.88,overcast clouds,-10.0681,-78.1522,Hotel Miramar
544,Impfondo,CG,75.43,overcast clouds,1.6381,18.0667,Auberge La Place de Jules
546,Novo Aripuana,BR,84.92,broken clouds,-5.1206,-60.3797,Hotel Ezequiel
551,Keti Bandar,PK,77.74,clear sky,24.1447,67.4497,Haji laloo memon house
556,Uberaba,BR,88.38,clear sky,-19.7483,-47.9319,Tamareiras Park Hotel
562,Quatre Cocos,MU,78.91,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
563,Maumere,ID,79.14,broken clouds,-8.6199,122.2111,Sylvia Hotel
571,Garissa,KE,84.61,scattered clouds,-0.4536,39.6401,Sharif Plaza Hotel
575,Buala,SB,77.29,moderate rain,-8.145,159.5921,Maringe Lagoon Lodge
576,Djenne,ML,91.85,few clouds,13.9061,-4.5533,Hôtel Chez Baba
581,Itarema,BR,81.14,light rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
582,Jaguaquara,BR,76.05,broken clouds,-13.5306,-39.9708,Hotel Irmãos Vaz
587,Coruripe,BR,81.07,overcast clouds,-10.1256,-36.1756,Pousada e Hotel Litoral Sul
591,Saint-Pierre,RE,78.48,clear sky,-21.3393,55.4781,Lindsey Hôtel
592,Nhulunbuy,AU,77.61,overcast clouds,-12.2333,136.7667,East Arnhem Real Estate
593,Acapulco,MX,86.49,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
610,Hobyo,SO,81.25,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
612,Bom Jesus Da Lapa,BR,94.87,few clouds,-13.255,-43.4181,Hotel das Nações
613,Bowen,AU,76.66,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
615,May Pen,JM,83.41,overcast clouds,17.9645,-77.2451,Mus Com Bac
621,Caravelas,BR,80.11,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
622,Nawalgarh,IN,77.11,clear sky,27.85,75.2667,Roop Niwas Kothi
623,Ambon,ID,77.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
627,Bubaque,GW,76.05,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
634,Khunti,IN,77.31,scattered clouds,23.0833,85.2833,JD
637,Nadadores,MX,86.59,clear sky,27.05,-101.6,Hacienda Las Catalinas
638,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
643,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
647,Odienne,CI,79.66,light rain,9.51,-7.5692,Oustaz Vame DIAKITE
648,Bac Lieu,VN,81.48,clear sky,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
649,Teacapan,MX,78.51,scattered clouds,22.55,-105.75,Hotel los Mangos
652,Winslow,US,75.96,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
653,Pong,TH,75.9,clear sky,19.1493,100.2752,999 Hotel
654,Qui Nhon,VN,77.14,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
656,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
661,Rio Branco,BR,77.61,very heavy rain,-9.9747,-67.81,Hotel Guapindaia Bosque
663,San Pedro,PH,81.63,few clouds,14.35,121.0167,Esquivel's Garden And Resort
669,Montego Bay,JM,82.2,scattered clouds,18.4712,-77.9188,Sunscape Splash Montego Bay
670,San Narciso,PH,78.8,clear sky,15.0143,120.0803,Beach Club Luxury Studio
673,Kelo,TD,89.2,overcast clouds,9.3086,15.8066,Plantation de Kelo
675,Sur,OM,82.11,clear sky,22.5667,59.5289,Sur Plaza Hotel
676,Veraval,IN,77.49,few clouds,20.9,70.3667,Lords Inn Somnath
677,Tabou,CI,80.26,overcast clouds,4.423,-7.3528,hotêl doufoulougou
678,Macapa,BR,85.98,broken clouds,0.0389,-51.0664,Atalanta Hotel
680,Katobu,ID,75.4,overcast clouds,-4.9408,122.5276,La Ode Husein
