City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
167,Hilo,19.7297,-155.09,78.53,62,0,6.91,US,2022-03-25 19:35:03,clear sky
168,Niltepec,16.5667,-94.6167,86.2,39,100,15.05,MX,2022-03-25 19:35:04,overcast clouds
169,Velyka Lepetykha,47.1757,33.9436,40.71,58,85,4.74,UA,2022-03-25 19:35:04,overcast clouds
170,Winnemucca,40.973,-117.7357,73.45,19,0,5.75,US,2022-03-25 19:35:05,clear sky
171,Etchoropo,26.7667,-109.6667,82.26,24,84,8.39,MX,2022-03-25 19:35:06,broken clouds
172,Severo-Kurilsk,50.6789,156.125,28.24,85,66,7.0,RU,2022-03-25 19:35:06,broken clouds
173,Denpasar,-8.65,115.2167,80.26,94,40,2.3,ID,2022-03-25 19:32:56,scattered clouds
174,Husavik,66.0449,-17.3389,30.94,85,100,13.13,IS,2022-03-25 19:32:31,overcast clouds
175,Komsomolskiy,40.4272,71.7189,45.32,81,83,2.3,UZ,2022-03-25 19:35:07,broken clouds
176,Saldanha,-33.0117,17.9442,63.79,72,3,16.17,ZA,2022-03-25 19:35:08,clear sky
177,Monrovia,6.3005,-10.7969,82.17,84,0,7.38,LR,2022-03-25 19:35:10,light rain
178,Sao Jose Da Coroa Grande,-8.8978,-35.1478,79.99,80,51,9.01,BR,2022-03-25 19:35:11,broken clouds
179,Airai,-8.9266,125.4092,59.36,92,93,1.25,TL,2022-03-25 19:35:14,overcast clouds
180,Poya,-21.35,165.15,75.79,87,99,5.14,NC,2022-03-25 19:36:14,overcast clouds
181,Correntina,-13.3433,-44.6367,87.96,41,33,0.83,BR,2022-03-25 19:35:54,scattered clouds
182,Changping,40.2186,116.2197,35.24,41,39,8.03,CN,2022-03-25 19:36:15,scattered clouds
183,Megion,61.0296,76.1136,17.02,91,100,25.52,RU,2022-03-25 19:36:16,overcast clouds
184,Santa Lucia,27.9117,-15.5407,58.32,68,75,12.66,ES,2022-03-25 19:33:53,broken clouds
185,Nouadhibou,20.931,-17.0347,66.18,63,80,16.11,MR,2022-03-25 19:36:17,broken clouds
186,Pisco,-13.7,-76.2167,77.02,68,0,8.05,PE,2022-03-25 19:36:18,clear sky
187,Umm Lajj,25.0213,37.2685,63.81,52,0,12.12,SA,2022-03-25 19:31:56,clear sky
188,High Level,58.5169,-117.136,10.51,56,75,6.91,CA,2022-03-25 19:35:13,broken clouds
189,Zatoka,46.0725,30.4654,42.51,66,84,11.07,UA,2022-03-25 19:36:21,broken clouds
190,Guerrero Negro,27.9769,-114.0611,83.61,18,78,3.24,MX,2022-03-25 19:36:23,broken clouds
191,Chuy,-33.6971,-53.4616,68.09,48,27,14.76,UY,2022-03-25 19:36:24,scattered clouds
192,Dingle,10.9995,122.6711,76.24,89,6,6.76,PH,2022-03-25 19:34:14,clear sky
193,Klaksvik,62.2266,-6.589,40.12,92,100,18.54,FO,2022-03-25 19:36:25,overcast clouds
194,Coquimbo,-29.9533,-71.3436,65.93,72,75,13.8,CL,2022-03-25 19:31:33,broken clouds
195,Leh,34.1667,77.5833,15.78,61,1,4.85,IN,2022-03-25 19:32:20,clear sky
196,Darlawn,24.0167,92.9,59.72,98,15,2.39,IN,2022-03-25 19:36:27,few clouds
197,Ilulissat,69.2167,-51.1,19.42,79,100,4.61,GL,2022-03-25 19:36:28,light snow
198,Methoni,36.8197,21.7049,53.46,77,2,16.2,GR,2022-03-25 19:36:28,clear sky
199,Kavaratti,10.5669,72.642,82.11,65,4,3.98,IN,2022-03-25 19:36:30,clear sky
200,Asyut,27.181,31.1837,59.18,36,0,10.16,EG,2022-03-25 19:36:32,clear sky
201,Anadyr,64.75,177.4833,-1.7,84,40,4.47,RU,2022-03-25 19:36:33,scattered clouds
